Order_ID,From,To,Shipment_Date,Delivery_Date,Distance,Shipment_Cost,Order_Date
O174448,Patna,Patna,01-10-2024,02-10-2024,0,2920,01-10-2024
O174449,Chennai,Chennai,01-10-2024,02-10-2024,0,2700,01-10-2024
O174450,Chennai,Chennai,01-10-2024,02-10-2024,0,2860,01-10-2024
O174451,Chennai,Chennai,01-10-2024,02-10-2024,0,2220,01-10-2024
O174452,Chandigarh,Chandigarh,01-10-2024,02-10-2024,0,2260,01-10-2024
O174453,Kolkata,Kolkata,01-10-2024,02-10-2024,0,2320,01-10-2024
O174454,Chandigarh,Faridabad,01-10-2024,03-10-2024,264,9613,01-10-2024
O174455,New_Delhi,New_Delhi,01-10-2024,02-10-2024,0,2880,01-10-2024
O174456,Ranchi,Dhanbad,01-10-2024,02-10-2024,122,5148,01-10-2024
O174457,Patna,Patna,01-10-2024,02-10-2024,0,2460,01-10-2024
O174458,Bangalore,Bangalore,01-10-2024,02-10-2024,0,2180,01-10-2024
O174459,Ranchi,Ranchi,01-10-2024,02-10-2024,0,2400,01-10-2024
O174460,Raipur,Raipur,01-10-2024,02-10-2024,0,2400,01-10-2024
O174461,Ranchi,Jamshedpur,01-10-2024,02-10-2024,108,5081,01-10-2024
O174462,Mumbai,Pune,01-10-2024,02-10-2024,120,5464,01-10-2024
O174463,Chennai,Chennai,01-10-2024,02-10-2024,0,2380,01-10-2024
O174464,Lucknow,Kanpur,01-10-2024,02-10-2024,75,4083,01-10-2024
O174465,Chennai,Salem,01-10-2024,03-10-2024,280,10128,01-10-2024
O174466,Kolkata,Kolkata,01-10-2024,02-10-2024,0,2780,01-10-2024
O174467,Raipur,Raipur,01-10-2024,02-10-2024,0,2540,01-10-2024
O174468,Ranchi,Ranchi,01-10-2024,02-10-2024,0,2600,01-10-2024
O174469,Bhopal,Gwalior,01-10-2024,03-10-2024,338,11651,01-10-2024
O174470,Ahmedabad,Surat,01-10-2024,03-10-2024,208,9132,01-10-2024
O174471,Jaipur,Jaipur,01-10-2024,02-10-2024,0,2560,01-10-2024
O174472,Lucknow,Ghaziabad,01-10-2024,03-10-2024,399,13213,01-10-2024
O174473,Jaipur,Udaipur,01-10-2024,03-10-2024,335,12053,01-10-2024
O174474,Chennai,Madurai,01-10-2024,04-10-2024,422,15511,01-10-2024
O174475,Jaipur,Udaipur,01-10-2024,03-10-2024,335,12093,01-10-2024
O174476,Ranchi,Jamshedpur,01-10-2024,02-10-2024,108,5281,01-10-2024
O174477,Mumbai,Mumbai,01-10-2024,02-10-2024,0,2500,01-10-2024
O174478,Jaipur,Jodhpur,01-10-2024,03-10-2024,285,10460,01-10-2024
O174479,Raipur,Raipur,01-10-2024,02-10-2024,0,2640,01-10-2024
O174480,Ahmedabad,Surat,01-10-2024,03-10-2024,208,8872,01-10-2024
O174481,Lucknow,Noida,01-10-2024,03-10-2024,397,13590,01-10-2024
O174482,Bangalore,Bangalore,01-10-2024,02-10-2024,0,2400,01-10-2024
O174483,Chennai,Vellore,02-10-2024,03-10-2024,125,6117,01-10-2024
O174484,Lucknow,Lucknow,01-10-2024,02-10-2024,0,2100,01-10-2024
O174485,Lucknow,Noida,01-10-2024,03-10-2024,397,13270,01-10-2024
O174486,New_Delhi,New_Delhi,01-10-2024,02-10-2024,0,2460,01-10-2024
O174487,Chennai,Coimbatore,01-10-2024,04-10-2024,427,15346,01-10-2024
O174488,New_Delhi,New_Delhi,01-10-2024,02-10-2024,0,2020,01-10-2024
O174489,Chandigarh,Chandigarh,01-10-2024,02-10-2024,0,2420,01-10-2024
O174490,New_Delhi,New_Delhi,01-10-2024,02-10-2024,0,2660,01-10-2024
O174491,Hyderabad,Hyderabad,01-10-2024,02-10-2024,0,2340,01-10-2024
O174492,Chandigarh,Chandigarh,01-10-2024,02-10-2024,0,2520,01-10-2024
O174493,Mumbai,Nagpur,01-10-2024,05-10-2024,688,21681,01-10-2024
O174494,Chennai,Madurai,01-10-2024,04-10-2024,422,14851,01-10-2024
O174495,Bhopal,Gwalior,01-10-2024,03-10-2024,338,12111,01-10-2024
O174496,Bhopal,Gwalior,01-10-2024,03-10-2024,338,12071,01-10-2024
O174497,Hyderabad,Visakhapatnam,01-10-2024,04-10-2024,503,16570,01-10-2024
O174498,Chandigarh,Chandigarh,01-10-2024,02-10-2024,0,2360,01-10-2024
O174499,Chennai,Chennai,01-10-2024,02-10-2024,0,2540,01-10-2024
O174500,Chandigarh,Faridabad,01-10-2024,03-10-2024,264,9833,01-10-2024
O174501,Chandigarh,Faridabad,01-10-2024,03-10-2024,264,10233,01-10-2024
O174502,Ahmedabad,Surat,01-10-2024,03-10-2024,208,8932,01-10-2024
O174503,Lucknow,Noida,01-10-2024,03-10-2024,397,13470,01-10-2024
O174504,Bhubaneswar,Bhubaneswar,01-10-2024,02-10-2024,0,2900,01-10-2024
O174505,Patna,Patna,01-10-2024,02-10-2024,0,2740,01-10-2024
O174506,Mumbai,Pune,01-10-2024,02-10-2024,120,5544,01-10-2024
O174507,Chennai,Chennai,01-10-2024,02-10-2024,0,2840,01-10-2024
O174508,Patna,Patna,01-10-2024,02-10-2024,0,2700,01-10-2024
O174509,Ahmedabad,Vadodara,01-10-2024,02-10-2024,101,5330,01-10-2024
O174510,Ahmedabad,Ahmedabad,01-10-2024,02-10-2024,0,2340,01-10-2024
O174511,Ahmedabad,Surat,01-10-2024,03-10-2024,208,9032,01-10-2024
O174512,Mumbai,Pune,01-10-2024,02-10-2024,120,5764,01-10-2024
O174513,Jaipur,Jodhpur,01-10-2024,03-10-2024,285,10440,01-10-2024
O174514,Bhopal,Gwalior,01-10-2024,03-10-2024,338,12371,01-10-2024
O174515,Raipur,Raipur,01-10-2024,02-10-2024,0,2040,01-10-2024
O174516,Hyderabad,Hyderabad,01-10-2024,02-10-2024,0,2200,01-10-2024
O174517,Chennai,Vellore,02-10-2024,03-10-2024,125,6117,01-10-2024
O174518,Chandigarh,Faridabad,01-10-2024,03-10-2024,264,9733,01-10-2024
O174519,Ahmedabad,Ahmedabad,01-10-2024,02-10-2024,0,2540,01-10-2024
O174520,Mumbai,Thane,01-10-2024,02-10-2024,19,3375,01-10-2024
O174521,Bhopal,Bhopal,01-10-2024,02-10-2024,0,2320,01-10-2024
O174522,Jaipur,Jodhpur,01-10-2024,03-10-2024,285,10700,01-10-2024
