Order_ID,From,To,Shipment_Date,Delivery_Date,Distance,Shipment_Cost,Order_Date
O024571,Bangalore,Bangalore,03-04-2023,04-04-2023,0,5900,01-04-2023
O024572,Lucknow,Ghaziabad,03-04-2023,05-04-2023,399,16853,01-04-2023
O024573,Chennai,Coimbatore,03-04-2023,06-04-2023,427,17966,01-04-2023
O024574,Chennai,Vellore,03-04-2023,04-04-2023,125,8777,01-04-2023
O024575,Jaipur,Udaipur,03-04-2023,05-04-2023,335,15513,01-04-2023
O024576,Mumbai,Thane,03-04-2023,04-04-2023,19,6415,01-04-2023
O024577,Lucknow,Kanpur,03-04-2023,04-04-2023,75,8343,01-04-2023
O024578,Chandigarh,Faridabad,03-04-2023,05-04-2023,264,14033,01-04-2023
O024579,Bhopal,Bhopal,03-04-2023,04-04-2023,0,6100,01-04-2023
O024580,Bhopal,Gwalior,03-04-2023,05-04-2023,338,15111,01-04-2023
O024581,Chandigarh,Gurgaon,03-04-2023,05-04-2023,254,13249,01-04-2023
O024582,Bhopal,Gwalior,03-04-2023,05-04-2023,338,15651,01-04-2023
O024583,Raipur,Raipur,03-04-2023,04-04-2023,0,6420,01-04-2023
O024584,Chandigarh,Gurgaon,03-04-2023,05-04-2023,254,14069,01-04-2023
O024585,Chandigarh,Chandigarh,03-04-2023,04-04-2023,0,6100,01-04-2023
O024586,Bhubaneswar,Bhubaneswar,03-04-2023,04-04-2023,0,6980,01-04-2023
O024587,Lucknow,Kanpur,03-04-2023,04-04-2023,75,8343,01-04-2023
O024588,Bhopal,Bhopal,03-04-2023,04-04-2023,0,5220,01-04-2023
O024589,Hyderabad,Hyderabad,03-04-2023,04-04-2023,0,6840,01-04-2023
O024590,Mumbai,Nagpur,03-04-2023,07-04-2023,688,24621,01-04-2023
O024591,Chennai,Coimbatore,03-04-2023,06-04-2023,427,19686,01-04-2023
O024592,Patna,Patna,03-04-2023,04-04-2023,0,5480,01-04-2023
O024593,Bhubaneswar,Bhubaneswar,03-04-2023,04-04-2023,0,6300,01-04-2023
O024594,Patna,Patna,03-04-2023,04-04-2023,0,6420,01-04-2023
O024595,Jaipur,Jodhpur,03-04-2023,05-04-2023,285,14200,01-04-2023
O024596,Bhopal,Bhopal,03-04-2023,04-04-2023,0,6640,01-04-2023
O024597,Bhopal,Bhopal,03-04-2023,04-04-2023,0,6780,01-04-2023
O024598,Ranchi,Jamshedpur,03-04-2023,04-04-2023,108,8441,01-04-2023
O024599,Ranchi,Jamshedpur,03-04-2023,04-04-2023,108,8001,01-04-2023
O024600,Lucknow,Ghaziabad,03-04-2023,05-04-2023,399,16513,01-04-2023
O024601,Hyderabad,Hyderabad,03-04-2023,04-04-2023,0,5180,01-04-2023
O024602,Ahmedabad,Ahmedabad,03-04-2023,04-04-2023,0,5160,01-04-2023
O024603,Ranchi,Dhanbad,03-04-2023,04-04-2023,122,9228,01-04-2023
O024604,Lucknow,Lucknow,03-04-2023,04-04-2023,0,6820,01-04-2023
O024605,Chennai,Madurai,03-04-2023,06-04-2023,422,18291,01-04-2023
O024606,Ranchi,Dhanbad,03-04-2023,04-04-2023,122,9048,01-04-2023
O024607,Ranchi,Dhanbad,03-04-2023,04-04-2023,122,9868,01-04-2023
O024608,Jaipur,Udaipur,03-04-2023,05-04-2023,335,15013,01-04-2023
O024609,Lucknow,Lucknow,03-04-2023,04-04-2023,0,6780,01-04-2023
O024610,Ranchi,Jamshedpur,03-04-2023,04-04-2023,108,7721,01-04-2023
O024611,Chennai,Madurai,03-04-2023,06-04-2023,422,18031,01-04-2023
O024612,Chennai,Chennai,03-04-2023,04-04-2023,0,6620,01-04-2023
O024613,Ranchi,Ranchi,03-04-2023,04-04-2023,0,6660,01-04-2023
O024614,Bangalore,Bangalore,03-04-2023,04-04-2023,0,6760,01-04-2023
O024615,Hyderabad,Vijayawada,03-04-2023,05-04-2023,250,13305,01-04-2023
O024616,Chennai,Madurai,03-04-2023,06-04-2023,422,18271,01-04-2023
