Order_ID,From,To,Shipment_Date,Delivery_Date,Distance,Shipment_Cost,Order_Date
O099646,Bhopal,Bhopal,01-01-2024,02-01-2024,0,2500,01-01-2024
O099647,Mumbai,Mumbai,01-01-2024,02-01-2024,0,2240,01-01-2024
O099648,Lucknow,Noida,01-01-2024,03-01-2024,397,13850,01-01-2024
O099649,Bangalore,Bangalore,01-01-2024,02-01-2024,0,2280,01-01-2024
O099650,Ranchi,Dhanbad,01-01-2024,02-01-2024,122,5308,01-01-2024
O099651,Chennai,Salem,01-01-2024,03-01-2024,280,10088,01-01-2024
O099652,Kolkata,Kolkata,01-01-2024,02-01-2024,0,2640,01-01-2024
O099653,Chandigarh,Faridabad,01-01-2024,03-01-2024,264,10453,01-01-2024
O099654,Bangalore,Mysore,01-01-2024,02-01-2024,128,5201,01-01-2024
O099655,Hyderabad,Vijayawada,01-01-2024,03-01-2024,250,10105,01-01-2024
O099656,Mumbai,Aurangabad,01-01-2024,03-01-2024,273,10374,01-01-2024
O099657,Chennai,Madurai,01-01-2024,04-01-2024,422,15511,01-01-2024
O099658,Jaipur,Jodhpur,01-01-2024,03-01-2024,285,10140,01-01-2024
O099659,Ranchi,Jamshedpur,01-01-2024,02-01-2024,108,5401,01-01-2024
O099660,Ahmedabad,Surat,01-01-2024,03-01-2024,208,9092,01-01-2024
O099661,Chennai,Madurai,01-01-2024,04-01-2024,422,14631,01-01-2024
O099662,Mumbai,Mumbai,01-01-2024,02-01-2024,0,2920,01-01-2024
O099663,Mumbai,Thane,01-01-2024,02-01-2024,19,3295,01-01-2024
O099664,Chennai,Vellore,01-01-2024,02-01-2024,125,5797,01-01-2024
O099665,Chennai,Vellore,01-01-2024,02-01-2024,125,5757,01-01-2024
O099666,Bhopal,Indore,01-01-2024,02-01-2024,170,6553,01-01-2024
O099667,Chandigarh,Chandigarh,01-01-2024,02-01-2024,0,2920,01-01-2024
O099668,New Delhi,New Delhi,01-01-2024,02-01-2024,0,2000,01-01-2024
O099669,Mumbai,Nagpur,01-01-2024,05-01-2024,688,22101,01-01-2024
O099670,Patna,Patna,01-01-2024,02-01-2024,0,2180,01-01-2024
O099671,Bangalore,Bangalore,01-01-2024,02-01-2024,0,2240,01-01-2024
O099672,Raipur,Raipur,01-01-2024,02-01-2024,0,2740,01-01-2024
O099673,Patna,Patna,02-01-2024,03-01-2024,0,3000,01-01-2024
O099674,Chennai,Madurai,01-01-2024,04-01-2024,422,14711,01-01-2024
O099675,Jaipur,Udaipur,01-01-2024,03-01-2024,335,11913,01-01-2024
O099676,Patna,Patna,01-01-2024,02-01-2024,0,2460,01-01-2024
O099677,Bhopal,Indore,01-01-2024,02-01-2024,170,6413,01-01-2024
O099678,Ranchi,Jamshedpur,01-01-2024,02-01-2024,108,4761,01-01-2024
O099679,Hyderabad,Hyderabad,01-01-2024,02-01-2024,0,2720,01-01-2024
O099680,Bhopal,Gwalior,01-01-2024,03-01-2024,338,11811,01-01-2024
O099681,Bhopal,Bhopal,01-01-2024,02-01-2024,0,2440,01-01-2024
O099682,Hyderabad,Vijayawada,02-01-2024,04-01-2024,250,10245,01-01-2024
O099683,Jaipur,Jodhpur,01-01-2024,03-01-2024,285,10800,01-01-2024
O099684,Chennai,Coimbatore,01-01-2024,04-01-2024,427,15206,01-01-2024
O099685,Mumbai,Aurangabad,01-01-2024,03-01-2024,273,10194,01-01-2024
O099686,Chandigarh,Gurgaon,01-01-2024,03-01-2024,254,9789,01-01-2024
O099687,Chennai,Salem,01-01-2024,03-01-2024,280,10968,01-01-2024
O099688,Jaipur,Jaipur,01-01-2024,02-01-2024,0,2380,01-01-2024
O099689,Lucknow,Ghaziabad,01-01-2024,03-01-2024,399,13493,01-01-2024
O099690,Mumbai,Pune,01-01-2024,02-01-2024,120,5404,01-01-2024
O099691,Chennai,Madurai,01-01-2024,04-01-2024,422,14731,01-01-2024
O099692,Mumbai,Pune,01-01-2024,02-01-2024,120,5884,01-01-2024
O099693,Lucknow,Lucknow,01-01-2024,02-01-2024,0,2000,01-01-2024
O099694,Bhopal,Indore,01-01-2024,02-01-2024,170,6873,01-01-2024
O099695,Chennai,Salem,01-01-2024,03-01-2024,280,10668,01-01-2024
O099696,Ranchi,Jamshedpur,01-01-2024,02-01-2024,108,4841,01-01-2024
O099697,Lucknow,Kanpur,01-01-2024,02-01-2024,75,4183,01-01-2024
O099698,Lucknow,Lucknow,01-01-2024,02-01-2024,0,2480,01-01-2024
O099699,Mumbai,Aurangabad,01-01-2024,03-01-2024,273,9934,01-01-2024
O099700,Mumbai,Pune,01-01-2024,02-01-2024,120,5384,01-01-2024
O099701,Jaipur,Jaipur,01-01-2024,02-01-2024,0,2080,01-01-2024
O099702,Hyderabad,Visakhapatnam,01-01-2024,04-01-2024,503,17470,01-01-2024
O099703,Bangalore,Bangalore,01-01-2024,02-01-2024,0,2580,01-01-2024
O099704,Mumbai,Pune,01-01-2024,02-01-2024,120,5384,01-01-2024
O099705,Bangalore,Bangalore,01-01-2024,02-01-2024,0,2780,01-01-2024
O099706,Bangalore,Bangalore,01-01-2024,02-01-2024,0,2740,01-01-2024
