Order_ID,From,To,Shipment_Date,Delivery_Date,Distance,Shipment_Cost,Order_Date
O000001,Jaipur,Udaipur,01-01-2023,03-01-2023,335,11373,01-01-2023
O000002,Ranchi,Ranchi,01-01-2023,02-01-2023,0,2560,01-01-2023
O000003,Hyderabad,Hyderabad,01-01-2023,02-01-2023,0,2240,01-01-2023
O000004,Ranchi,Dhanbad,01-01-2023,02-01-2023,122,5388,01-01-2023
O000005,Bhubaneswar,Bhubaneswar,01-01-2023,02-01-2023,0,2240,01-01-2023
O000006,Chennai,Coimbatore,01-01-2023,04-01-2023,427,15626,01-01-2023
O000007,Chandigarh,Gurgaon,01-01-2023,03-01-2023,254,9629,01-01-2023
O000008,Chennai,Vellore,01-01-2023,02-01-2023,125,5457,01-01-2023
O000009,Lucknow,Lucknow,01-01-2023,02-01-2023,0,2120,01-01-2023
O000010,Raipur,Raipur,01-01-2023,02-01-2023,0,2540,01-01-2023
O000011,Chennai,Chennai,01-01-2023,02-01-2023,0,2140,01-01-2023
O000012,Lucknow,Kanpur,01-01-2023,02-01-2023,75,4503,01-01-2023
O000013,Mumbai,Mumbai,01-01-2023,02-01-2023,0,2080,01-01-2023
O000014,Chennai,Madurai,01-01-2023,04-01-2023,422,15231,01-01-2023
O000015,Ahmedabad,Surat,01-01-2023,03-01-2023,208,8512,01-01-2023
O000016,Chandigarh,Chandigarh,01-01-2023,02-01-2023,0,2800,01-01-2023
O000017,Ranchi,Jamshedpur,01-01-2023,02-01-2023,108,5301,01-01-2023
O000018,Ahmedabad,Ahmedabad,01-01-2023,02-01-2023,0,2960,01-01-2023
O000019,Bhopal,Bhopal,01-01-2023,02-01-2023,0,2000,01-01-2023
O000020,Bhopal,Gwalior,01-01-2023,03-01-2023,338,11731,01-01-2023
O000021,Hyderabad,Visakhapatnam,01-01-2023,04-01-2023,503,16910,01-01-2023
O000022,Ranchi,Dhanbad,01-01-2023,02-01-2023,122,5788,01-01-2023
O000023,Bhubaneswar,Bhubaneswar,01-01-2023,02-01-2023,0,2380,01-01-2023
O000024,Ranchi,Dhanbad,01-01-2023,02-01-2023,122,5528,01-01-2023
O000025,Chennai,Vellore,01-01-2023,02-01-2023,125,5137,01-01-2023
O000026,Chennai,Chennai,01-01-2023,02-01-2023,0,2460,01-01-2023
O000027,Bhopal,Gwalior,01-01-2023,03-01-2023,338,11691,01-01-2023
O000028,Bangalore,Mysore,01-01-2023,02-01-2023,128,5861,01-01-2023
O000029,Lucknow,Kanpur,01-01-2023,02-01-2023,75,4603,01-01-2023
O000030,Bhopal,Bhopal,01-01-2023,02-01-2023,0,2920,01-01-2023
O000031,Chennai,Madurai,01-01-2023,04-01-2023,422,14891,01-01-2023
O000032,Ahmedabad,Ahmedabad,01-01-2023,02-01-2023,0,2580,01-01-2023
O000033,Chennai,Vellore,01-01-2023,02-01-2023,125,5477,01-01-2023
O000034,Raipur,Raipur,01-01-2023,02-01-2023,0,2200,01-01-2023
O000035,Jaipur,Udaipur,01-01-2023,03-01-2023,335,12253,01-01-2023
O000036,New Delhi,New Delhi,01-01-2023,02-01-2023,0,2240,01-01-2023
O000037,Jaipur,Udaipur,01-01-2023,03-01-2023,335,12233,01-01-2023
O000038,Hyderabad,Visakhapatnam,01-01-2023,04-01-2023,503,16610,01-01-2023
O000039,Chennai,Madurai,01-01-2023,04-01-2023,422,14651,01-01-2023
O000040,Bhopal,Gwalior,01-01-2023,03-01-2023,338,12171,01-01-2023
