Warehouse_ID,Warehouse_Location,Product_ID,Initial_Inventory,Remaining_Inventory,Date
W001,New Delhi,P001,323217,323217,01-10-2023
W002,Lucknow,P001,146998,146748,01-10-2023
W003,Lucknow,P001,186471,186172,01-10-2023
W001,Lucknow,P002,324555,324483,01-10-2023
W002,Lucknow,P002,139764,139436,01-10-2023
W003,Lucknow,P002,201646,201507,01-10-2023
W001,New Delhi,P003,322000,321862,01-10-2023
W002,Lucknow,P003,140380,140111,01-10-2023
W003,Chandigarh,P003,186329,186016,01-10-2023
W001,New Delhi,P004,326970,326882,01-10-2023
W002,Lucknow,P004,129729,129349,01-10-2023
W003,Chandigarh,P004,208377,208377,01-10-2023
W001,New Delhi,P005,319597,319365,01-10-2023
W002,Lucknow,P005,132267,132015,01-10-2023
W003,Chandigarh,P005,187571,187429,01-10-2023
W001,New Delhi,P006,324488,324390,01 10 2023
W002,Lucknow,P006,138405,138068,01-10-2023
W003,Chandigarh,P006,206041,205911,01-10-2023
W001,New Delhi,P001,324856,324671,02-10-2023
W002,Lucknow,P001,148387,148311,02-10-2023
W003,Chandigarh,P001,187811,187544,02-10-2023
W001,New Delhi,P002,325862,325783,02-10-2023
W002,Lucknow,P002,140815,140655,02-10-2023
W003,Chandigarh,P002,202886,202519,02-10-2023
W001,New Delhi,P003,323219,323219,02-10-2023
W002,Lucknow,P003,141468,141048,02-10-2023
W003,Chandigarh,P003,187372,187308,02-10-2023
W001,New Delhi,P004,327977,327921,02-10-2023
W002,Lucknow,P004,130443,130299,02-10-2023
W003,Chandigarh,P004,209471,209198,02-10-2023
W001,New Delhi,P005,320855,320855,02-10-2023
W002,Lucknow,P005,133504,133075,02-10-2023
W003,Chandigarh,P005,188918,188626,02-10-2023
W001,New Delhi,P006,325869,325651,02-10-2023
W002,Lucknow,P006,139547,139453,02-10-2023
W003,Chandigarh,P006,207390,206781,02-10-2023
W001,New Delhi,P001,326289,326226,03-10-2023
W002,Lucknow,P001,149929,149441,03-10-2023
W003,Chandigarh,P001,189162,188943,03-10-2023
W001,New Delhi,P002,327362,327263,03-10-2023
W002,Lucknow,P002,142233,141855,03-10-2023
W003,Chandigarh,P002,204097,203938,03-10-2023
W001,New Delhi,P003,324697,324697,03-10-2023
W002,Lucknow,P003,142526,142456,03-10-2023
W003,Chandigarh,P003,188785,188663,03-10-2023
W001,New Delhi,P004,329545,329545,03-10-2023
W002,Lucknow,P004,131923,131683,03-10-2023
W003,Chandigarh,P004,210822,210423,03-10-2023
W001,New Delhi,P005,321884,321884,03-10-2023
W002,Lucknow,P005,134104,134046,03-10-2023
W003,Chandigarh,P005,189655,189564,03-10-2023
W001,New Delhi,P006,327119,327119,03-10-2023
W002,Lucknow,P006,140920,140600,03-10-2023
W003,Chandigarh,P006,208248,207928,03-10-2023
W001,New Delhi,P001,327425,327328,04-10-2023
W002,Lucknow,P001,150640,150255,04-10-2023
W003,Chandigarh,P001,190142,189918,04-10-2023
W001,New Delhi,P002,328863,328863,04-10-2023
W002,Lucknow,P002,143455,142998,04-10-2023
W003,Chandigarh,P002,205538,205183,04-10-2023
W001,New Delhi,P003,325731,325672,04-10-2023
W002,Lucknow,P003,143490,143161,04-10-2023
W003,Chandigarh,P003,189697,189330,04-10-2023
W001,New Delhi,P004,331178,331178,04-10-2023
W002,Lucknow,P004,133316,132977,04-10-2023
W003,Chandigarh,P004,212055,211874,04-10-2023
W001,New Delhi,P005,322984,322984,04-10-2023
W002,Lucknow,P005,135145,134888,04-10-2023
W003,Chandigarh,P005,190663,190421,04-10-2023
W001,New Delhi,P006,328482,328431,04-10-2023
W002,Lucknow,P006,141963,141912,04-10-2023
W003,Chandigarh,P006,209290,208911,04-10-2023
W001,New Delhi,P001,328880,328880,05-10-2023
W002,Lucknow,P001,151807,151368,05-10-2023
W003,Chandigarh,P001,191469,191269,05-10-2023
W001,New Delhi,P002,330224,330224,05-10-2023
W002,Lucknow,P002,144359,143877,05-10-2023
W003,Chandigarh,P002,206544,206004,05-10-2023
W001,New Delhi,P003,326926,326926,05-10-2023
W002,Lucknow,P003,144415,144039,05-10-2023
W003,Chandigarh,P003,190583,190178,05 10 2023
W001,New Delhi,P004,332288,332203,05-10-2023
W002,Lucknow,P004,134087,133737,05-10-2023
W003,Chandigarh,P004,212983,212857,05-10-2023
W001,New Delhi,P005,324480,324397,05-10-2023
W002,Lucknow,P005,136384,136185,05-10-2023
W003,Chandigarh,P005,191917,191692,05-10-2023
W001,New Delhi,P006,329554,329554,05-10-2023
W002,Lucknow,P006,143034,142668,05-10-2023
W003,Chandigarh,P006,210033,209875,05-10-2023
W001,New Delhi,P001,330401,330312,06-10-2023
W002,Lucknow,P001,152889,152671,06-10-2023
W003,Chandigarh,P001,192789,192789,06-10-2023
W001,New Delhi,P002,331690,331690,06-10-2023
W002,Lucknow,P002,145342,145082,06-10-2023
W003,Chandigarh,P002,207469,207054,06-10-2023
W001,New Delhi,P003,328249,328167,06-10-2023
W002,Lucknow,P003,145362,145191,06-10-2023
W003,Chandigarh,P003,191501,191201,06-10-2023
W001,New Delhi,P004,333580,333446,06-10-2023
W002,Lucknow,P004,135113,135113,06-10-2023
W003,Chandigarh,P004,214233,214068,06-10-2023
W001,New Delhi,P005,325711,325628,06-10-2023
W002,Lucknow,P005,137499,137227,06-10-2023
W003,Chandigarh,P005,193005,192668,06-10-2023
W001,New Delhi,P006,330931,330855,06-10-2023
W002,Lucknow,P006,144045,143679,06-10-2023
W003,Chandigarh,P006,211252,211114,06-10-2023
W001,New Delhi,P001,331674,331606,07-10-2023
W002,Lucknow,P001,154033,153670,07-10-2023
W003,Chandigarh,P001,194150,193713,07-10-2023
W001,New Delhi,P002,332761,332761,07-10-2023
W002,Lucknow,P002,146153,145991,07-10-2023
W003,Chandigarh,P002,208125,207979,07-10-2023
W001,New Delhi,P003,329748,329696,07-10-2023
W002,Lucknow,P003,146772,146575,07-10-2023
W003,Chandigarh,P003,192781,192781,07-10-2023
W001,New Delhi,P004,334837,334748,07-10-2023
W002,Lucknow,P004,136503,136237,07-10-2023
W003,Chandigarh,P004,215458,215328,07-10-2023
W001,New Delhi,P005,326687,326687,07-10-2023
W002,Lucknow,P005,138285,137856,07-10-2023
W003,Chandigarh,P005,193726,193389,07-10-2023
W001,New Delhi,P006,332454,332454,07-10-2023
W002,Lucknow,P006,145278,144949,07-10-2023
W003,Chandigarh,P006,212712,212478,07-10-2023
W001,New Delhi,P001,332814,332733,08-10-2023
W002,Lucknow,P001,154877,154592,08-10-2023
W003,Chandigarh,P001,194920,194680,08-10-2023
W001,New Delhi,P002,334274,334205,08-10-2023
W002,Lucknow,P002,147503,147326,08-10-2023
W003,Chandigarh,P002,209491,209281,08-10-2023
W001,New Delhi,P003,331019,331019,08-10-2023
W002,Lucknow,P003,147897,147325,08-10-2023
W003,Chandigarh,P003,194103,193796,08-10-2023
W001,New Delhi,P004,335932,335839,08-10-2023
W002,Lucknow,P004,137421,137218,08-10-2023
W003,Chandigarh,P004,216512,216206,08-10-2023
W001,New Delhi,P005,327833,327780,08-10-2023
W002,Lucknow,P005,139002,139002,08-10-2023
W003,Chandigarh,P005,194535,194381,08-10-2023
W001,New Delhi,P006,333812,333812,08-10-2023
W002,Lucknow,P006,146307,145929,08-10-2023
W003,Chandigarh,P006,213836,213609,08-10-2023
W001,New Delhi,P001,334172,334172,09-10-2023
W002,Lucknow,P001,156031,155649,09-10-2023
W003,Chandigarh,P001,196118,196058,09-10-2023
W001,New Delhi,P002,335662,335662,09-10-2023
W002,Lucknow,P002,148783,148264,09-10-2023
W003,Chandigarh,P002,210738,210638,09-10-2023
W001,New Delhi,P003,332522,332448,09-10-2023
W002,Lucknow,P003,148827,148554,09-10-2023
W003,Chandigarh,P003,195298,195234,09-10-2023
W001,New Delhi,P004,337462,337462,09-10-2023
W002,Lucknow,P004,138841,138770,09-10-2023
W003,Chandigarh,P004,217829,217684,09-10-2023
W001,New Delhi,P005,328940,328940,09-10-2023
W002,Lucknow,P005,140162,139934,09-10-2023
W003,Chandigarh,P005,195540,195379,09-10-2023
W001,New Delhi,P006,334957,334907,09-10-2023
W002,Lucknow,P006,147073,146631,09-10-2023
W003,Chandigarh,P006,214753,214753,09-10-2023
W001,New Delhi,P001,335354,335354,10-10-2023
W002,Lucknow,P001,156831,156722,10-10-2023
W003,Chandigarh,P001,197239,197032,10-10-2023
W001,New Delhi,P002,337198,337198,10-10-2023
W002,Lucknow,P002,149800,149463,10-10-2023
W003,Chandigarh,P002,212173,211861,10-10-2023
W001,New Delhi,P003,333940,333788,10-10-2023
W002,Lucknow,P003,150045,149729,10-10-2023
W003,Chandigarh,P003,196725,196653,10-10-2023
W001,New Delhi,P004,338834,338834,10-10-2023
W002,Lucknow,P004,140141,139517,10-10-2023
W003,Chandigarh,P004,219055,218633,10-10-2023
W001,New Delhi,P005,330239,330239,10-10-2023
W002,Lucknow,P005,141233,141138,10-10-2023
W003,Chandigarh,P005,196678,196148,10-10-2023
W001,New Delhi,P006,336466,336466,10-10-2023
W002,Lucknow,P006,148190,147811,10-10-2023
W003,Chandigarh,P006,216312,216178,10-10-2023
W001,New Delhi,P001,336464,336385,11-10-2023
W002,Lucknow,P001,157831,157487,11-10-2023
W003,Chandigarh,P001,198141,197834,11-10-2023
W001,New Delhi,P002,338729,338729,11-10-2023
W002,Lucknow,P002,150994,150493,11-10-2023
W003,Chandigarh,P002,213391,213142,11-10-2023
W001,New Delhi,P003,335335,335335,11-10-2023
W002,Lucknow,P003,151276,150933,11-10-2023
W003,Chandigarh,P003,198199,197856,11-10-2023
W001,New Delhi,P004,340109,339951,11-10-2023
W002,Lucknow,P004,140792,140534,11-10-2023
W003,Chandigarh,P004,219908,219758,11-10-2023
W001,New Delhi,P005,331492,331404,11-10-2023
W002,Lucknow,P005,142391,142171,11-10-2023
W003,Chandigarh,P005,197400,197129,11-10-2023
W001,New Delhi,P006,338049,337951,11-10-2023
W002,Lucknow,P006,149394,149228,11-10-2023
W003,Chandigarh,P006,217760,217624,11-10-2023
W001,New Delhi,P001,337988,337860,12-10-2023
W002,Lucknow,P001,159089,158552,12-10-2023
W003,Chandigarh,P001,199436,199254,12-10-2023
W001,New Delhi,P002,340211,340111,12-10-2023
W002,Lucknow,P002,151975,151674,12-10-2023
W003,Chandigarh,P002,214624,214624,12-10-2023
W001,New Delhi,P003,336713,336539,12-10-2023
W002,Lucknow,P003,152311,152059,12-10-2023
W003,Chandigarh,P003,199234,198873,12-10-2023
W001,New Delhi,P004,341047,341047,12-10-2023
W002,Lucknow,P004,141630,141416,12-10-2023
W003,Chandigarh,P004,220853,220754,12-10-2023
W001,New Delhi,P005,332464,332379,12-10-2023
W002,Lucknow,P005,143230,143178,12-10-2023
W003,Chandigarh,P005,198188,198188,12-10-2023
W001,New Delhi,P006,339193,339193,12-10-2023
W002,Lucknow,P006,150470,149846,12-10-2023
W003,Chandigarh,P006,218865,218778,12-10-2023
W001,New Delhi,P001,339518,339518,13-10-2023
W002,Lucknow,P001,160210,159838,13-10-2023
