Warehouse_ID,Warehouse_Location,Product_ID,Initial_Inventory,Remaining_Inventory,Date
W001,New Delhi,P001,111466,111466,01-04-2023
W002,Lucknow,P001,71169,70432,01-04-2023
W003,Lucknow,P001,82712,82712,01-04-2023
W001,Lucknow,P002,115658,115406,01-04-2023
W002,Lucknow,P002,73433,71710,01-04-2023
W003,Lucknow,P002,85105,84345,01-04-2023
W001,Lucknow,P003,109625,109363,01-04-2023
W002,Lucknow,P003,70503,69664,01-04-2023
W003,Lucknow,P003,82439,81708,01-04-2023
W001,Lucknow,P004,110989,110762,01-04-2023
W002,Lucknow,P004,70452,68339,01-04-2023
W003,Lucknow,P004,85660,85388,01-04-2023
W001,Lucknow,P005,111102,111102,01-04-2023
W002,Lucknow,P005,68301,67841,01-04-2023
W003,Chandigarh,P005,84177,83456,01-04-2023
W001,New Delhi,P006,113533,113321,01-04-2023
W002,Lucknow,P006,69656,68410,01-04-2023
W003,Chandigarh,P006,83846,82318,01-04-2023
W001,New Delhi,P001,112547,112269,02-04-2023
W002,Lucknow,P001,71513,70792,02-04-2023
W003,Chandigarh,P001,83793,82621,02-04-2023
W001,New Delhi,P002,117060,117060,02 04 2023
W002,Lucknow,P002,73364,71527,02-04-2023
W003,Chandigarh,P002,85999,85262,02-04-2023
W001,New Delhi,P003,110911,110911,02-04-2023
W002,Lucknow,P003,71212,70466,02-04-2023
W003,Chandigarh,P003,83256,83256,02-04-2023
W001,New Delhi,P004,112202,112202,02-04-2023
W002,Lucknow,P004,69778,68544,02-04-2023
W003,Chandigarh,P004,86827,86314,02-04-2023
W001,New Delhi,P005,112713,112713,02-04-2023
W002,Lucknow,P005,69451,66653,02-04-2023
W003,Chandigarh,P005,85066,85066,02-04-2023
W001,New Delhi,P006,114521,114521,02-04-2023
W002,Lucknow,P006,69610,67947,02-04-2023
W003,Chandigarh,P006,83517,83262,02-04-2023
W001,New Delhi,P001,113697,113015,03-04-2023
W002,Lucknow,P001,72219,71778,03-04-2023
W003,Chandigarh,P001,84048,82845,03-04-2023
