Warehouse_ID,Warehouse_Location,Product_ID,Initial_Inventory,Remaining_Inventory,Date
W001,New Delhi,P001,1152,1098,01-01-2023
W002,Lucknow,P001,1151,766,01-01-2023
W003,Chandigarh,P001,1151,683,01-01-2023
W001,New Delhi,P002,1140,1140,01-01-2023
W002,Lucknow,P002,1140,785,01-01-2023
W003,Chandigarh,P002,1139,788,01-01-2023
W001,New Delhi,P003,1230,1230,01 01 2023
W002,Lucknow,P003,1229,1134,01-01-2023
W003,Chandigarh,P003,1229,1086,01-01-2023
W001,New Delhi,P004,1532,1470,01-01-2023
W002,Lucknow,P004,1531,1235,01-01-2023
W003,Chandigarh,P004,1531,1358,01-01-2023
W001,New Delhi,P005,1324,1272,01-01-2023
W002,Lucknow,P005,1324,1035,01-01-2023
W003,Chandigarh,P005,1323,1235,01-01-2023
W001,New Delhi,P006,1344,1344,01-01-2023
W002,Lucknow,P006,1344,805,01-01-2023
W003,Chandigarh,P006,1343,1114,01 01 2023
W001,New Delhi,P001,2133,2068,02-01-2023
W002,Lucknow,P001,1801,1377,02-01-2023
W003,Chandigarh,P001,1717,1334,02-01-2023
W001,New Delhi,P002,2505,2505,02-01-2023
W002,Lucknow,P002,2150,1801,02-01-2023
W003,Chandigarh,P002,2153,2026,02-01-2023
W001,New Delhi,P003,2773,2773,02-01-2023
W002,Lucknow,P003,2677,2537,02-01-2023
W003,Chandigarh,P003,2629,2391,02 01 2023
W001,New Delhi,P004,2707,2707,02-01-2023
W002,Lucknow,P004,2472,2054,02-01-2023
W003,Chandigarh,P004,2595,2371,02-01-2023
W001,New Delhi,P005,2498,2440,02-01-2023
W002,Lucknow,P005,2261,1879,02-01-2023
W003,Chandigarh,P005,2461,2361,02-01-2023
W001,New Delhi,P006,2982,2982,02-01-2023
W002,Lucknow,P006,2442,2355,02-01-2023
W003,Chandigarh,P006,2751,2390,02-01-2023
W001,New Delhi,P001,3391,3391,03-01-2023
W002,Lucknow,P001,2700,2150,03-01-2023
W003,Chandigarh,P001,2656,2604,03-01-2023
W001,New Delhi,P002,3976,3976,03-01-2023
W002,Lucknow,P002,3272,2889,03-01-2023
W003,Chandigarh,P002,3496,3496,03 01 2023
W001,New Delhi,P003,3976,3798,03-01-2023
W002,Lucknow,P003,3740,3588,03-01-2023
W003,Chandigarh,P003,3594,3251,03-01-2023
W001,New Delhi,P004,4104,4050,03-01-2023
W002,Lucknow,P004,3451,3294,03-01-2023
W003,Chandigarh,P004,3767,3533,03-01-2023
W001,New Delhi,P005,3686,3524,03-01-2023
W002,Lucknow,P005,3124,2772,03-01-2023
W003,Chandigarh,P005,3606,3355,03-01-2023
W001,New Delhi,P006,4416,4322,03-01-2023
W002,Lucknow,P006,3788,3188,03-01-2023
W003,Chandigarh,P006,3823,3634,03-01-2023
W001,New Delhi,P001,4830,4830,04-01-2023
W002,Lucknow,P001,3588,3260,04-01-2023
W003,Chandigarh,P001,4042,3880,04-01-2023
W001,New Delhi,P002,5627,5627,04-01-2023
W002,Lucknow,P002,4540,4165,04-01-2023
W003,Chandigarh,P002,5146,4963,04-01-2023
W001,New Delhi,P003,5273,5173,04-01-2023
W002,Lucknow,P003,5063,4872,04-01-2023
W003,Chandigarh,P003,4726,4494,04-01-2023
W001,New Delhi,P004,5081,4890,04-01-2023
W002,Lucknow,P004,4325,4086,04-01-2023
W003,Chandigarh,P004,4564,4481,04-01-2023
W001,New Delhi,P005,4712,4712,04-01-2023
W002,Lucknow,P005,3960,3191,04-01-2023
W003,Chandigarh,P005,4542,4130,04-01-2023
W001,New Delhi,P006,5673,5554,04-01-2023
W002,Lucknow,P006,4539,4145,04 01 2023
W003,Chandigarh,P006,4984,4764,04-01-2023
W001,New Delhi,P001,6424,6353,05 01 2023
W002,Lucknow,P001,4854,4672,05-01-2023
W003,Chandigarh,P001,5474,5331,05-01-2023
W001,New Delhi,P002,6850,6789,05-01-2023
W002,Lucknow,P002,5388,5162,05-01-2023
W003,Chandigarh,P002,6186,6037,05-01-2023
W001,New Delhi,P003,6725,6725,05-01-2023
W002,Lucknow,P003,6423,6338,05-01-2023
W003,Chandigarh,P003,6045,5752,05-01-2023
W001,New Delhi,P004,5985,5855,05-01-2023
W002,Lucknow,P004,5181,4818,05-01-2023
W003,Chandigarh,P004,5575,5225,05-01-2023
W001,New Delhi,P005,5865,5767,05-01-2023
W002,Lucknow,P005,4343,3314,05-01-2023
W003,Chandigarh,P005,5282,4945,05-01-2023
W001,New Delhi,P006,7040,7040,05-01-2023
W002,Lucknow,P006,5630,5175,05-01-2023
W003,Chandigarh,P006,6249,6098,05-01-2023
W001,New Delhi,P001,7842,7842,06-01-2023
