Order_ID,Product_ID,Customer_ID,Quantity_Ordered,Order_Date,Warehouse_ID,Total_Cost
O174448,P005,C0756,96,01-10-2024,W009,120000
O174449,P006,C1545,85,01-10-2024,W015,106250
O174450,P005,C0320,93,01-10-2024,W015,116250
O174451,P006,C1665,61,01-10-2024,W015,76250
O174452,P005,C0495,63,01-10-2024,W003,78750
O174453,P002,C1096,66,01-10-2024,W007,33000
O174454,P006,C0688,51,01-10-2024,W003,63750
O174455,P006,C0006,94,01-10-2024,W001,117500
O174456,P002,C0636,55,01-10-2024,W012,27500
O174456,P002,C0636,55,01-10-2024,W012,27500
O174457,P002,C0829,73,01-10-2024,W009,36500
O174458,P004,C1128,59,01-10-2024,W013,88500
O174459,P006,C0382,70,01-10-2024,W012,87500
O174460,P001,C0325,70,01-10-2024,W011,35000
O174461,P002,C1753,69,01-10-2024,W012,34500
O174462,P006,C1593,73,01-10-2024,W004,91250
O174463,P005,C1946,69,01-10-2024,W015,86250
O174464,P003,C0642,60,01-10-2024,W002,30000
O174465,P005,C1569,57,01-10-2024,W015,71250
O174466,P002,C0641,89,01-10-2024,W007,44500
O174467,P004,C0315,77,01-10-2024,W011,115500
O174468,P002,C1652,80,01-10-2024,W012,40000
O174469,P002,C1939,60,01-10-2024,W010,30000
O174470,P005,C0063,97,01-10-2024,W005,121250
O174471,P005,C1385,78,01-10-2024,W006,97500
O174472,P005,C1254,62,01-10-2024,W002,77500
O174473,P006,C0231,84,01-10-2024,W006,105000
O174474,P003,C1380,98,01-10-2024,W015,49000
O174475,P006,C0799,86,01-10-2024,W006,107500
O174476,P006,C0676,79,01-10-2024,W012,98750
O174477,P002,C1132,75,01-10-2024,W004,37500
O174478,P006,C0743,67,01-10-2024,W006,83750
O174479,P006,C0147,82,01-10-2024,W011,102500
O174480,P005,C0245,84,01-10-2024,W005,105000
O174481,P004,C1886,83,01-10-2024,W002,124500
O174482,P003,C1599,70,01-10-2024,W013,35000
O174483,P001,C0601,100,01-10-2024,W015,50000
O174484,P005,C1744,55,01-10-2024,W002,68750
O174485,P001,C0463,67,01-10-2024,W002,33500
O174486,P003,C0013,73,01-10-2024,W001,36500
O174487,P002,C1516,83,01-10-2024,W015,41500
O174488,P004,C1000,51,01-10-2024,W001,76500
O174489,P004,C1062,71,01-10-2024,W003,106500
O174490,P006,C0854,83,01-10-2024,W001,103750
O174491,P001,C0994,67,01-10-2024,W014,33500
O174492,P004,C1681,76,01-10-2024,W003,114000
O174493,P003,C1403,74,01-10-2024,W004,37000
O174494,P004,C0603,65,01-10-2024,W015,97500
O174495,P005,C1795,83,01-10-2024,W010,103750
O174496,P004,C1353,81,01-10-2024,W010,121500
O174497,P001,C1079,50,01-10-2024,W014,25000
O174498,P002,C1543,68,01-10-2024,W003,34000
O174499,P001,C0605,77,01-10-2024,W015,38500
O174500,P006,C1787,62,01-10-2024,W003,77500
O174501,P001,C1763,82,01-10-2024,W003,41000
O174502,P005,C0770,87,01-10-2024,W005,108750
O174503,P002,C0645,77,01-10-2024,W002,38500
O174504,P003,C0621,95,01-10-2024,W008,47500
O174505,P006,C0707,87,01-10-2024,W009,108750
O174506,P003,C0650,77,01-10-2024,W004,38500
O174507,P005,C1095,92,01-10-2024,W015,115000
O174508,P001,C0786,85,01-10-2024,W009,42500
O174509,P001,C1286,90,01-10-2024,W005,45000
O174510,P005,C1908,67,01-10-2024,W005,83750
O174511,P001,C1043,92,01-10-2024,W005,46000
O174512,P005,C0949,88,01-10-2024,W004,110000
O174513,P004,C1429,66,01-10-2024,W006,99000
O174514,P006,C0970,96,01-10-2024,W010,120000
O174515,P001,C1990,52,01-10-2024,W011,26000
O174516,P002,C1952,60,01-10-2024,W014,30000
O174517,P001,C0055,100,01-10-2024,W015,50000
O174518,P001,C0297,57,01-10-2024,W003,28500
O174519,P001,C0330,77,01-10-2024,W005,38500
O174520,P004,C1791,95,01-10-2024,W004,142500
O174521,P003,C1138,66,01-10-2024,W010,33000
O174522,P004,C0098,79,01-10-2024,W006,118500
O174523,P003,C0410,100,01-10-2024,W012,50000
O174524,P003,C1367,82,01-10-2024,W002,41000
O174525,P003,C1883,86,01-10-2024,W003,43000
O174526,P003,C1816,52,01-10-2024,W005,26000
O174527,P003,C0919,69,01-10-2024,W015,34500
O174528,P005,C0745,95,01-10-2024,W014,118750
O174529,P003,C1759,68,01-10-2024,W011,34000
