Order_ID,Product_ID,Customer_ID,Quantity_Ordered,Order_Date,Warehouse_ID,Total_Cost
O099646,P004,C1502,75,01-01-2024,W010,112500
O099647,P006,C0578,62,01-01-2024,W004,77500
O099648,P004,C1838,96,01-01-2024,W002,144000
O099649,P006,C0844,64,01-01-2024,W013,80000
O099650,P003,C0267,63,01-01-2024,W012,31500
O099651,P004,C0733,55,01-01-2024,W015,82500
O099652,P001,C1292,82,01-01-2024,W007,41000
O099653,P004,C1692,93,01-01-2024,W003,139500
O099653,P004,C1692,93,01-01-2024,W003,139500
O099654,P006,C1321,50,01-01-2024,W013,62500
O099655,P003,C1366,93,01-01-2024,W014,46500
O099656,P002,C0043,77,01-01-2024,W004,38500
O099657,P006,C1455,98,01-01-2024,W015,122500
O099658,P002,C1257,51,01-01-2024,W006,25500
O099659,P004,C0260,85,01-01-2024,W012,127500
O099660,P001,C0256,95,01-01-2024,W005,47500
O099661,P006,C0546,54,01-01-2024,W015,67500
O099662,P003,C0622,96,01-01-2024,W004,48000
O099663,P001,C0695,91,01-01-2024,W004,45500
O099664,P005,C0877,84,01-01-2024,W015,105000
O099665,P005,C0003,82,01-01-2024,W015,102500
O099666,P006,C0635,65,01-01-2024,W010,81250
O099667,P005,C1275,96,01-01-2024,W003,120000
O099668,P003,C1237,50,01-01-2024,W001,25000
O099669,P003,C1191,95,01-01-2024,W004,47500
O099670,P006,C1088,59,01-01-2024,W009,73750
O099671,P006,C1128,62,01-01-2024,W013,77500
O099672,P004,C1843,87,01-01-2024,W011,130500
O099673,P001,C0429,100,01-01-2024,W009,50000
O099674,P005,C1773,58,01-01-2024,W015,72500
O099675,P004,C1820,77,01-01-2024,W006,115500
O099676,P002,C1758,73,01-01-2024,W009,36500
O099677,P003,C1334,58,01-01-2024,W010,29000
O099678,P006,C1308,53,01-01-2024,W012,66250
O099679,P003,C0058,86,01-01-2024,W014,43000
O099680,P001,C0672,68,01-01-2024,W010,34000
O099681,P006,C0782,72,01-01-2024,W010,90000
O099682,P001,C1314,100,01-01-2024,W014,50000
O099683,P006,C0555,84,01-01-2024,W006,105000
O099684,P001,C1370,76,01-01-2024,W015,38000
O099685,P001,C0527,68,01-01-2024,W004,34000
O099686,P003,C1339,72,01-01-2024,W003,36000
O099687,P003,C0012,99,01-01-2024,W015,49500
O099688,P002,C1385,69,01-01-2024,W006,34500
O099689,P005,C0790,76,01-01-2024,W002,95000
O099690,P006,C0486,70,01-01-2024,W004,87500
O099691,P004,C1615,59,01-01-2024,W015,88500
O099692,P003,C0178,94,01-01-2024,W004,47000
O099693,P005,C0448,50,01-01-2024,W002,62500
O099694,P002,C1616,81,01-01-2024,W010,40500
O099695,P006,C1925,84,01-01-2024,W015,105000
O099696,P003,C0048,57,01-01-2024,W012,28500
O099697,P006,C1915,65,01-01-2024,W002,81250
O099698,P001,C1680,74,01-01-2024,W002,37000
O099699,P004,C1499,55,01-01-2024,W004,82500
O099700,P004,C0905,69,01-01-2024,W004,103500
O099701,P006,C1146,54,01-01-2024,W006,67500
O099702,P002,C1830,95,01-01-2024,W014,47500
O099703,P001,C0769,79,01-01-2024,W013,39500
O099704,P006,C1844,69,01-01-2024,W004,86250
O099705,P006,C1991,89,01-01-2024,W013,111250
O099706,P001,C0190,87,01-01-2024,W013,43500
O099707,P004,C0105,93,01-01-2024,W003,139500
O099708,P001,C0250,66,01-01-2024,W004,33000
O099709,P004,C0521,83,01-01-2024,W009,124500
O099710,P006,C0456,51,01-01-2024,W015,63750
O099711,P004,C1545,55,01-01-2024,W015,82500
O099712,P003,C1051,71,01-01-2024,W010,35500
O099713,P005,C1334,99,01-01-2024,W010,123750
O099714,P005,C0497,77,01-01-2024,W002,96250
O099715,P002,C1148,66,01-01-2024,W013,33000
O099716,P006,C1642,88,01-01-2024,W003,110000
O099717,P001,C1487,57,01-01-2024,W002,28500
O099718,P001,C1644,61,01-01-2024,W010,30500
O099719,P005,C1011,96,01-01-2024,W015,120000
O099720,P006,C0839,86,01-01-2024,W015,107500
O099721,P001,C0669,83,01-01-2024,W003,41500
O099722,P002,C1721,52,01-01-2024,W006,26000
O099723,P002,C1383,53,01-01-2024,W005,26500
O099724,P004,C0403,65,01-01-2024,W015,97500
O099725,P001,C0207,85,01-01-2024,W008,42500
O099726,P006,C0735,93,01-01-2024,W005,116250
O099727,P004,C0012,66,01-01-2024,W015,99000
O099728,P002,C0445,51,01-01-2024,W015,25500
O099729,P006,C0226,69,01-01-2024,W004,86250
O099730,P002,C0093,80,01-01-2024,W010,40000
O099731,P001,C1678,85,01-01-2024,W015,42500
O099732,P006,C0681,83,01-01-2024,W010,103750
O099733,P003,C1971,57,01-01-2024,W003,28500
O099734,P004,C1447,68,01-01-2024,W001,102000
O099735,P003,C0333,72,01-01-2024,W015,36000
O099736,P001,C1722,68,01-01-2024,W014,34000
O099737,P005,C1235,75,01-01-2024,W015,93750
O099738,P006,C1873,86,01-01-2024,W002,107500
O099739,P006,C0513,78,01-01-2024,W004,97500
O099740,P002,C1748,54,01-01-2024,W015,27000
O099741,P004,C0793,86,01-01-2024,W005,129000
O099742,P004,C0420,58,01-01-2024,W006,87000
O099743,P004,C1630,95,01-01-2024,W005,142500
O099744,P002,C1654,57,01-01-2024,W006,28500
O099745,P005,C0133,90,01-01-2024,W012,112500
O099746,P005,C1837,53,01-01-2024,W005,66250
O099747,P001,C1911,90,01-01-2024,W013,45000
O099748,P006,C1513,74,01-01-2024,W003,92500
O099749,P006,C1604,96,01-01-2024,W003,120000
O099750,P004,C0959,64,01-01-2024,W007,96000
O099751,P005,C0418,51,01-01-2024,W003,63750
O099752,P001,C1679,67,01-01-2024,W003,33500
O099753,P001,C1705,60,01-01-2024,W006,30000
O099754,P001,C1883,100,01-01-2024,W003,50000
O099755,P003,C0011,87,01-01-2024,W003,43500
O099756,P003,C0764,91,01-01-2024,W010,45500
O099757,P003,C1229,72,01-01-2024,W006,36000
O099758,P001,C0925,96,01-01-2024,W015,48000
O099759,P006,C1028,82,01-01-2024,W015,102500
O099760,P003,C0813,86,01-01-2024,W010,43000
O099761,P001,C0065,55,01-01-2024,W003,27500
O099762,P002,C1592,70,01-01-2024,W014,35000
O099763,P003,C1564,75,01-01-2024,W014,37500
O099764,P006,C1726,72,01-01-2024,W012,90000
O099765,P006,C0243,83,01-01-2024,W003,103750
O099766,P004,C1549,60,01-01-2024,W012,90000
O099767,P006,C1509,59,01-01-2024,W002,73750
O099768,P005,C1752,98,01-01-2024,W013,122500
O099769,P005,C1572,97,01-01-2024,W012,121250
O099770,P001,C0156,53,01-01-2024,W006,26500
O099771,P004,C0624,71,01-01-2024,W010,106500
O099772,P004,C1782,89,01-01-2024,W005,133500
O099773,P006,C1876,96,01-01-2024,W002,120000
O099774,P003,C0725,83,01-01-2024,W003,41500
O099775,P004,C0060,96,01-01-2024,W004,144000
O099776,P006,C1060,98,01-01-2024,W015,122500
O099777,P003,C0084,60,01-01-2024,W004,30000
O099778,P004,C0275,80,01-01-2024,W006,120000
O099779,P006,C0892,83,01-01-2024,W008,103750
O099780,P002,C0632,94,01-01-2024,W005,47000
O099781,P001,C1346,63,01-01-2024,W005,31500
O099782,P005,C1976,65,01-01-2024,W002,81250
O099783,P003,C1956,51,01-01-2024,W014,25500
O099784,P003,C1520,75,01-01-2024,W006,37500
O099785,P003,C0608,83,01-01-2024,W006,41500
O099786,P003,C0249,81,01-01-2024,W008,40500
O099787,P006,C0260,100,01-01-2024,W012,125000
O099788,P006,C0195,93,01-01-2024,W012,116250
O099789,P003,C0583,96,01-01-2024,W007,48000
O099790,P002,C1473,51,01-01-2024,W010,25500
O099791,P004,C1194,56,01-01-2024,W003,84000
O099792,P005,C0288,100,01-01-2024,W015,125000
O099793,P001,C0188,59,01-01-2024,W004,29500
O099794,P005,C0677,98,01-01-2024,W012,122500
O099795,P002,C0563,54,01-01-2024,W012,27000
O099796,P006,C1836,76,01-01-2024,W012,95000
O099797,P004,C0811,84,01-01-2024,W006,126000
O099798,P006,C1486,69,01-01-2024,W010,86250
O099799,P005,C1507,97,01-01-2024,W003,121250
O099800,P002,C1691,99,01-01-2024,W005,49500
O099801,P006,C1148,70,01-01-2024,W013,87500
O099802,P002,C1753,87,01-01-2024,W012,43500
O099803,P003,C0223,89,01-01-2024,W015,44500
O099804,P001,C0382,57,01-01-2024,W012,28500
O099805,P004,C0057,72,01-01-2024,W002,108000
O099806,P001,C1576,86,01-01-2024,W010,43000
O099807,P003,C1635,89,01-01-2024,W011,44500
O099808,P005,C0340,88,01-01-2024,W015,110000
O099809,P002,C0881,79,01-01-2024,W013,39500
O099810,P002,C0832,89,01-01-2024,W015,44500
O099811,P006,C1669,85,01-01-2024,W015,106250
O099812,P001,C1251,80,01-01-2024,W002,40000
O099813,P004,C1309,63,01-01-2024,W003,94500
O099814,P003,C0105,74,01-01-2024,W003,37000
O099815,P005,C1316,99,01-01-2024,W002,123750
O099816,P003,C1587,92,01-01-2024,W006,46000
O099817,P004,C1499,67,01-01-2024,W004,100500
O099818,P003,C1021,85,01-01-2024,W005,42500
O099819,P003,C1086,61,01-01-2024,W014,30500
O099820,P002,C0743,99,01-01-2024,W006,49500
O099821,P006,C1496,86,01-01-2024,W003,107500
O099822,P005,C1203,59,01-01-2024,W010,73750
O099823,P004,C1037,100,01-01-2024,W014,150000
O099824,P004,C0269,78,01-01-2024,W006,117000
O099825,P006,C1711,78,01-01-2024,W003,97500
O099826,P005,C1431,72,01-01-2024,W006,90000
O099827,P005,C1513,68,01-01-2024,W003,85000
O099828,P001,C0091,64,01-01-2024,W006,32000
O099829,P003,C0473,61,01-01-2024,W015,30500
O099830,P004,C0181,60,01-01-2024,W006,90000
O099831,P006,C0957,92,01-01-2024,W012,115000
O099832,P003,C1118,87,01-01-2024,W004,43500
O099833,P004,C1721,65,01-01-2024,W006,97500
O099834,P004,C0648,99,01-01-2024,W015,148500
O099835,P005,C1091,59,01-01-2024,W006,73750
O099836,P001,C1180,99,01-01-2024,W014,49500
O099837,P006,C1938,81,01-01-2024,W014,101250
O099838,P004,C1222,83,01-01-2024,W014,124500
O099839,P004,C0812,90,01-01-2024,W005,135000
O099840,P005,C1757,78,01-01-2024,W005,97500
O099841,P004,C0360,94,01-01-2024,W015,141000
O099842,P006,C0277,83,01-01-2024,W001,103750
O099843,P002,C1401,91,01-01-2024,W004,45500
O099844,P001,C1811,85,01-01-2024,W003,42500
O099845,P002,C0299,95,01-01-2024,W015,47500
O099846,P005,C0287,96,01-01-2024,W006,120000
O099847,P006,C1103,81,01-01-2024,W003,101250
O099848,P002,C1131,54,01-01-2024,W013,27000
O099849,P004,C0139,53,01-01-2024,W003,79500
O099850,P001,C1326,90,01-01-2024,W008,45000
O099851,P002,C1572,74,01-01-2024,W012,37000
O099852,P006,C0368,100,01-01-2024,W005,125000
O099853,P006,C1933,70,01-01-2024,W004,87500
O099854,P003,C0156,87,01-01-2024,W006,43500
O099855,P002,C1647,69,01-01-2024,W015,34500
O099856,P004,C1369,92,01-01-2024,W015,138000
O099857,P005,C1767,92,01-01-2024,W015,115000
O099858,P006,C0678,62,01-01-2024,W006,77500
O099859,P001,C0236,78,01-01-2024,W001,39000
O099860,P005,C1959,75,01-01-2024,W004,93750
O099861,P006,C0096,79,01-01-2024,W015,98750
O099862,P005,C1045,90,01-01-2024,W012,112500
O099863,P006,C0387,77,01-01-2024,W015,96250
O099864,P006,C0030,59,01-01-2024,W014,73750
O099865,P003,C1226,93,01-01-2024,W010,46500
O099866,P006,C0894,84,01-01-2024,W012,105000
O099867,P005,C1524,71,01-01-2024,W002,88750
O099868,P003,C0174,83,01-01-2024,W006,41500
O099869,P002,C0402,94,01-01-2024,W006,47000
O099870,P001,C0500,79,01-01-2024,W004,39500
O099871,P001,C1442,89,01-01-2024,W009,44500
O099872,P003,C0690,90,01-01-2024,W009,45000
O099873,P001,C1246,66,01-01-2024,W012,33000
O099874,P005,C0272,70,01-01-2024,W014,87500
O099875,P006,C0311,59,01-01-2024,W014,73750
O099876,P001,C0327,82,01-01-2024,W014,41000
O099877,P006,C0842,66,01-01-2024,W014,82500
O099878,P004,C1539,64,01-01-2024,W002,96000
O099879,P002,C1050,98,01-01-2024,W008,49000
O099880,P004,C1877,75,01-01-2024,W012,112500
O099881,P005,C0234,87,01-01-2024,W004,108750
O099882,P004,C0369,64,01-01-2024,W002,96000
O099883,P005,C1958,84,01-01-2024,W003,105000
O099884,P001,C0286,60,01-01-2024,W002,30000
O099885,P003,C0820,75,01-01-2024,W008,37500
O099886,P005,C0373,83,01-01-2024,W015,103750
O099887,P004,C0680,80,01-01-2024,W002,120000
O099888,P003,C1628,92,01-01-2024,W008,46000
O099889,P002,C1267,85,01-01-2024,W010,42500
O099890,P006,C0403,88,01-01-2024,W015,110000
O099891,P006,C0701,79,01-01-2024,W015,98750
O099892,P001,C0860,71,01-01-2024,W010,35500
O099893,P005,C0176,95,01-01-2024,W004,118750
O099894,P001,C1150,74,01-01-2024,W005,37000
O099895,P001,C1716,95,01-01-2024,W002,47500
O099896,P002,C1429,66,01-01-2024,W006,33000
O099897,P004,C0086,62,01-01-2024,W014,93000
O099898,P002,C1522,88,01-01-2024,W001,44000
O099899,P004,C1889,70,01-01-2024,W013,105000
O099900,P006,C0235,75,01-01-2024,W005,93750
O099901,P003,C0301,96,01-01-2024,W010,48000
O099902,P004,C1158,98,01-01-2024,W010,147000
O099903,P004,C0151,95,01-01-2024,W012,142500
O099904,P004,C1071,58,01-01-2024,W010,87000
O099905,P003,C1110,96,01-01-2024,W011,48000
O099906,P001,C1981,85,01-01-2024,W002,42500
O099907,P005,C0262,97,01-01-2024,W010,121250
O099908,P002,C0099,73,01-01-2024,W003,36500
O099909,P004,C1128,86,01-01-2024,W013,129000
O099910,P005,C1948,73,01-01-2024,W014,91250
O099911,P002,C0833,67,01-01-2024,W004,33500
O099912,P004,C1078,82,01-01-2024,W010,123000
O099913,P003,C0158,55,01-01-2024,W015,27500
O099914,P001,C0758,99,01-01-2024,W012,49500
O099915,P004,C1919,97,01-01-2024,W015,145500
O099916,P005,C1959,86,01-01-2024,W004,107500
O099917,P004,C1873,83,01-01-2024,W002,124500
O099918,P004,C0560,70,01-01-2024,W008,105000
O099919,P006,C1405,92,02-01-2024,W012,115000
O099920,P003,C0449,89,02-01-2024,W007,44500
O099921,P003,C0018,56,02-01-2024,W013,28000
O099922,P006,C1271,70,02-01-2024,W006,87500
