Order_ID,Product_ID,Customer_ID,Quantity_Ordered,Order_Date,Warehouse_ID,Total_Cost
O049414,P002,C1090,298,01-07-2023,W004,149000
O049415,P006,C0251,217,01-07-2023,W005,271250
O049416,P004,C0463,281,01-07-2023,W002,421500
O049417,P005,C0361,224,01-07-2023,W005,280000
O049418,P002,C0060,265,01-07-2023,W004,132500
O049419,P002,C0758,277,01-07-2023,W012,138500
O049420,P006,C0999,295,01-07-2023,W014,368750
O049421,P002,C1866,200,01-07-2023,W002,100000
O049422,P004,C0876,264,01-07-2023,W007,396000
O049423,P004,C0900,256,01-07-2023,W015,384000
O049424,P001,C1395,284,01-07-2023,W013,142000
O049425,P003,C0952,247,01-07-2023,W002,123500
O049426,P005,C0691,215,01-07-2023,W002,268750
O049427,P004,C1959,248,01-07-2023,W004,372000
O049427,P004,C1959,248,01-07-2023,W004,372000
O049428,P004,C0450,225,01-07-2023,W010,337500
O049429,P001,C0875,264,01-07-2023,W002,132000
O049430,P006,C0450,216,01-07-2023,W010,270000
O049431,P004,C0274,287,01-07-2023,W003,430500
O049432,P002,C0423,238,01-07-2023,W006,119000
O049433,P001,C0693,262,01-07-2023,W012,131000
O049434,P003,C0650,217,01-07-2023,W004,108500
O049435,P001,C0258,298,01-07-2023,W006,149000
O049436,P002,C0774,281,01-07-2023,W014,140500
O049437,P003,C1331,214,01-07-2023,W004,107000
O049438,P002,C0637,291,01-07-2023,W015,145500
O049439,P001,C0554,248,01-07-2023,W002,124000
O049440,P006,C0877,283,01-07-2023,W015,353750
O049441,P002,C1521,277,01-07-2023,W004,138500
O049442,P004,C0490,294,01-07-2023,W010,441000
O049443,P001,C1579,225,01-07-2023,W004,112500
O049444,P003,C1903,237,01-07-2023,W006,118500
O049445,P004,C0210,222,01-07-2023,W003,333000
O049446,P006,C0676,259,01-07-2023,W012,323750
O049447,P002,C1405,280,01-07-2023,W012,140000
O049448,P002,C1796,284,01-07-2023,W012,142000
O049449,P002,C1080,272,01-07-2023,W005,136000
O049450,P006,C0079,287,01-07-2023,W015,358750
O049451,P003,C1682,224,01-07-2023,W015,112000
O049452,P001,C1406,201,01-07-2023,W008,100500
O049453,P001,C1362,233,01-07-2023,W015,116500
O049454,P006,C0589,293,01-07-2023,W005,366250
O049455,P006,C1403,223,01-07-2023,W004,278750
O049456,P005,C0212,250,01-07-2023,W006,312500
O049457,P006,C0279,248,01-07-2023,W004,310000
O049458,P002,C1607,286,01-07-2023,W008,143000
O049459,P005,C0130,278,01-07-2023,W004,347500
O049460,P004,C0170,284,01-07-2023,W007,426000
O049461,P001,C0059,249,01-07-2023,W005,124500
O049462,P002,C1546,289,01-07-2023,W010,144500
O049463,P005,C0608,226,01-07-2023,W006,282500
O049464,P006,C1047,296,01-07-2023,W015,370000
O049465,P006,C0048,280,01-07-2023,W012,350000
O049466,P003,C1546,268,01-07-2023,W010,134000
O049467,P004,C1205,213,01-07-2023,W010,319500
O049468,P006,C1833,245,01-07-2023,W013,306250
