Order_ID,Product_ID,Customer_ID,Quantity_Ordered,Order_Date,Warehouse_ID,Total_Cost
O000001,P002,C1382,50,01-01-2023,W006,25000
O000002,P001,C0796,78,01-01-2023,W012,39000
O000003,P006,C0745,62,01 01 2023,W014,77500
O000004,P004,C0379,67,01-01-2023,W012,100500
O000005,P001,C0732,62,01-01-2023,W008,31000
O000006,P004,C0989,97,01-01-2023,W015,145500
O000007,P006,C1136,64,01-01-2023,W003,80000
O000007,P006,C1136,64,01-01-2023,W003,80000
O000008,P006,C1235,67,01-01-2023,W015,83750
O000009,P002,C0082,56,01-01-2023,W002,28000
O000010,P005,C0731,77,01-01-2023,W011,96250
O000011,P006,C0832,57,01-01-2023,W015,71250
O000012,P006,C0159,81,01-01-2023,W002,101250
O000013,P006,C0077,54,01-01-2023,W004,67500
O000014,P006,C1767,84,01-01-2023,W015,105000
O000015,P001,C0033,66,01-01-2023,W005,33000
O000016,P001,C1832,90,01-01-2023,W003,45000
O000017,P005,C1308,80,01-01-2023,W012,100000
O000018,P005,C1172,98,01-01-2023,W005,122500
O000019,P003,C1200,50,01-01-2023,W010,25000
O000020,P004,C0672,64,01-01-2023,W010,96000
O000021,P002,C0699,67,01-01-2023,W014,33500
O000022,P003,C0758,87,01-01-2023,W012,43500
O000023,P001,C1050,69,01-01-2023,W008,34500
O000024,P005,C1426,74,01 01 2023,W012,92500
O000025,P002,C1798,51,01-01-2023,W015,25500
O000026,P006,C1761,73,01-01-2023,W015,91250
O000027,P005,C1728,62,01-01-2023,W010,77500
O000028,P002,C1698,83,01-01-2023,W013,41500
O000029,P001,C1332,86,01-01-2023,W002,43000
O000030,P005,C1868,96,01-01-2023,W010,120000
O000031,P003,C0868,67,01-01-2023,W015,33500
O000032,P002,C1296,79,01-01-2023,W005,39500
O000033,P005,C0088,68,01-01-2023,W015,85000
O000034,P002,C1759,60,01-01-2023,W011,30000
O000035,P003,C0258,94,01-01-2023,W006,47000
O000036,P004,C1522,62,01-01-2023,W001,93000
O000037,P006,C0651,93,01-01-2023,W006,116250
O000038,P004,C1639,52,01-01-2023,W014,78000
O000039,P001,C0866,55,01-01-2023,W015,27500
O000040,P003,C0800,86,01-01-2023,W010,43000
O000041,P001,C0483,93,01-01-2023,W003,46500
O000042,P003,C0101,76,01-01-2023,W004,38000
O000043,P002,C1394,74,01-01-2023,W004,37000
O000044,P003,C1705,80,01-01-2023,W006,40000
O000045,P004,C1290,53,01-01-2023,W010,79500
O000046,P005,C0787,96,01-01-2023,W006,120000
O000047,P004,C0142,58,01-01-2023,W002,87000
O000048,P006,C0357,78,01-01-2023,W004,97500
O000049,P002,C0763,59,01-01-2023,W006,29500
O000050,P006,C1263,84,01-01-2023,W003,105000
O000051,P005,C1369,69,01 01 2023,W015,86250
O000052,P004,C0376,99,01-01-2023,W004,148500
O000053,P006,C1570,73,01-01-2023,W015,91250
O000054,P004,C0863,81,01-01-2023,W010,121500
O000055,P006,C0586,75,01-01-2023,W012,93750
O000055,P006,C0586,75,01-01-2023,W012,93750
